Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,46,6313,4180,3344,420,1102,5,1031,4884,215,1048
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem,46,6313,4180,3344,420,1102,5,1031,4884,215,1048
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src,40,6199,4100,3282,420,1068,5,1031,4884,215,1048
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg,40,6199,4100,3282,420,1068,5,1031,4884,215,1048
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\common,1,85,14,13,0,21,0,50,145,5,25
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\controller,11,1564,916,794,67,255,4,393,2091,72,351
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\dao,5,636,318,243,19,172,1,146,824,38,196
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\dto,7,592,447,320,59,85,0,60,250,32,157
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\meta,5,1133,901,694,97,146,0,86,212,0,0
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\model,5,912,599,418,120,174,0,139,363,26,109
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\service,5,1229,875,778,54,203,0,151,974,37,189
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\src\btg\session,1,48,30,22,4,12,0,6,25,5,21
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\test,6,114,80,62,0,34,0,0,0,0,0
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\test\btg,1,19,15,12,0,4,0,0,0,0,0
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\test\btg\controller,1,19,15,12,0,4,0,0,0,0,0
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\test\budget,5,95,65,50,0,30,0,0,0,0,0
C:\Users\davebaclayon\Desktop\BTGGradeSubmissionSystem\test\budget\model,5,95,65,50,0,30,0,0,0,0,0
